,user_id_1,user_id_2
0,37281,393551
1,37281,2340546
2,37281,4864201
3,37281,38215107
4,37281,212029676
5,37281,575974633
6,393551,2340546
7,393551,4609940
8,393551,4864201
9,393551,10040469
10,393551,16571021
11,393551,19598808
12,393551,21545318
13,393551,28642046
14,393551,36101917
15,393551,38215107
16,393551,40718649
17,393551,52141462
18,393551,64700129
19,393551,66835995
20,393551,70737338
21,393551,75642852
22,393551,104375286
23,393551,134741370
24,393551,145327230
25,393551,152419016
26,393551,160808955
27,393551,218175604
28,393551,242200202
29,393551,248297907
30,393551,278614235
31,393551,369921320
32,393551,575974633
33,727643,261283797
34,2332795,18060464
35,2340546,4609940
36,2340546,4864201
37,2340546,10040469
38,2340546,16571021
39,2340546,21545318
40,2340546,38215107
41,2340546,40718649
42,2340546,70737338
43,2340546,182143594
44,2340546,212029676
45,2340546,285624510
46,2340546,369921320
47,3070087,165292341
48,3922102,12560124
49,3922102,28642046
50,3922102,40718649
51,3922102,85132547
52,3922102,135400137
53,3922102,154768909
54,3922102,212029676
55,4430587,7106031
56,4430587,56140734
57,4430587,92876091
58,4430587,106608194
59,4430587,157371277
60,4430587,163234393
61,4430587,165466937
62,4430587,176473856
63,4609940,4864201
64,4609940,10040469
65,4609940,16571021
66,4609940,19598808
67,4609940,21545318
68,4609940,40718649
69,4609940,64700129
70,4609940,70737338
71,4609940,92562193
72,4609940,104375286
73,4609940,145491720
74,4609940,146290046
75,4609940,152419016
76,4609940,172901654
77,4609940,241604365
78,4609940,243746587
79,4609940,276853426
80,4609940,278614235
81,4609940,369921320
82,4864201,10040469
83,4864201,21545318
84,4864201,38215107
85,4864201,145491720
86,4864201,146290046
87,4864201,369921320
88,6343378,12560124
89,6343378,34381072
90,6343378,36101917
91,6343378,43605412
92,6343378,52323984
93,6343378,54078497
94,6343378,66835995
95,6343378,78686210
96,6343378,102003625
97,6343378,104375286
98,6343378,106608194
99,6343378,135810247
100,6343378,139167333
101,6343378,145327230
102,6343378,148157321
103,6343378,154768909
104,6343378,161201691
105,6343378,162804563
106,6343378,218175604
107,6343378,226951956
108,6343378,251664583
109,6343378,268332528
110,6343378,271363685
111,7106031,8661715
112,7106031,14914624
113,7106031,32600570
114,7106031,56140734
115,7106031,59174103
116,7106031,81813371
117,7106031,85132547
118,7106031,146469198
119,7106031,192386009
120,7106031,192720749
121,7106031,285624510
122,7106031,474887856
123,7106031,575974633
124,8661715,21545318
125,8661715,32600570
126,8661715,52141462
127,8661715,54962895
128,8661715,56140734
129,8661715,57504826
130,8661715,59174103
131,8661715,61381700
132,8661715,65027989
133,8661715,65908651
134,8661715,66329105
135,8661715,78949766
136,8661715,79720983
137,8661715,85132547
138,8661715,88620086
139,8661715,92876091
140,8661715,97241559
141,8661715,97857652
142,8661715,106608194
143,8661715,107613657
144,8661715,114365439
145,8661715,116359633
146,8661715,124127380
147,8661715,128038723
148,8661715,132881145
149,8661715,143862366
150,8661715,145250801
151,8661715,145391693
152,8661715,146290046
153,8661715,146469198
154,8661715,147931444
155,8661715,150913468
156,8661715,152615668
157,8661715,154129724
158,8661715,165466937
159,8661715,170015339
160,8661715,172223080
161,8661715,175546871
162,8661715,176473856
163,8661715,176537746
164,8661715,212029676
165,8661715,212389789
166,8661715,281684388
167,8661715,285624510
168,8661715,333238006
169,8661715,343237572
170,8661715,406583064
171,8661715,410422747
172,8661715,472366406
